'Company Name', 'Internationale Vorwahl', 'Telefon', 'Telefax', 'Email', 'Internet', 'Bankverbindung', 'Straße-Adresse', 'Hausnummer', 'PLZ', 'Ort', 'Regierungsbezirk', 'Bundesland', 'Land', 'Zusätzl. Informationen', 'Rechtsform (kurz)', 'Hauptbranche WZ 2008', 'Top-Management'
Assist - Sozialwirtschaftliche Dienstleistungen für Menschen mit Behinderung - gemeinnützige GmbH,+43,01 7866233,01 786623330, N/A, www.assist4you.at,N/A,Schweglerstraße,33,1150,Wien,Wien 15.?Rudolfsheim-Fünfhaus,Wien,AT,Wien,GmbH,87300Altenheime - Alten- und Behindertenwohnheime,Geschäftsführer? vertritt seit 25.10.1996 selbständig|Heinz Greier (m)f400869360#p400869360?400869361?120iconCompProfLink1959|N/A|25.10.1996|
Assl-Möbel Gesellschaft mbH,+43,03136 61348,03136 6113019, office@assl-moebel.at, www.assl-moebel.at,Raiffeisenbank LIEBOCH - STAINZ reg.Gen.m.b.H. 8501 Lieboch (38210),Johann-Assl-Platz,1,8501,Lieboch,Graz-Umgebung,Steiermark,AT,Lieboch,GmbH,47591Einzelhandel mit Wohnmöbeln,Geschäftsführer? vertritt seit 08.07.1995 selbständig|Johann Assl (m)f400014094#p400014094?400514777?120iconCompProfLink1964? Lieboch|N/A|01.06.2002|
Assmann Electronic GmbH,+43,03135 54433,03135 5443322, office@assmann24h.at, www.assmann24.at,Steiermärkische Bank und Sparkassen Aktiengesellschaft 8010 Graz? BKS Bank AG 8010 Graz? UniCredit Bank Austria AG 8011 Graz (20815? 17400? 12760),Gewerbepark,8,8401,Kalsdorf,Graz-Umgebung,Steiermark,AT,Kalsdorf,GmbH,46510Großhandel mit Datenverarbeitungsgeräten? peripheren Geräten und Software,Geschäftsführer? vertritt seit 07.04.1993 selbständig|Gerald Stockenhuber (m)f400376382#p400376382?400376389?120iconCompProfLink1962? Graz|N/A|07.04.1993|
Assmannmühlen Gesellschaft m.b.H.,+43,02236 535550,02236 5355519, office@assmannmuehlen.at, www.assmannmuehlen.at,UniCredit Bank Austria AG 1030 Wien (20151),Steinfeldgasse,46,2353,Guntramsdorf,Mödling,Niederösterreich,AT,Guntramsdorf,GmbH,10610Mahl- und Schälmühlen,Geschäftsführer? vertritt seit 20.09.2016 selbständig|Herbert Poinstingl (m)f400000215#p400000215?400515837?120iconCompProfLink1964? Guntramsdorf|N/A|09.01.2001|!Geschäftsführer? vertritt seit 23.11.2000 selbständig|Ingeborg Poinstingl (w)f400000215#p400000215?400090152?120iconCompProfLink1939? Guntramsdorf|N/A|21.03.1988|!Geschäftsleitung? vertritt seit 20.09.2016 selbständig|Mag. Gerd Singer (m)f400000215#p400000215?402583916?131iconCompProfLink1979? Guntramsdorf|Prokura|23.09.2016|
ASSMONT GmbH,+43,04215 26100,04215 2610010, office@assmont-steel-austria.com, www.assmont.com,Volksbank Feldkirchen? registrierte Genossenschaft mit beschränkter Haftung 9551 Bodensdorf? Kärntner Sparkasse Aktiengesellschaft 9100 Völkermarkt (42600? 20706),Ossiacher Bundesstraße,3,9556,Liebenfels,Sankt Veit an der Glan,Kärnten,AT,Liebenfels,GmbH,43999Baugewerbe a. n. g.,Geschäftsführer? vertritt seit 12.07.2001 selbständig|Hubert Greiner (m)f401234671#p401234671?401234672?120iconCompProfLink1970? Moosburg|N/A|12.07.2001|!Geschäftsführer? vertritt seit 01.10.2016 selbständig|Ingenieur Johann Lampl (m)f401234671#p401234671?400773965?120iconCompProfLink1964? Neumarkt|N/A|13.10.2016|
AST Chemtech GmbH,+43,01 537124125,01 537124000, info@ast-chemtech.at, www.ast-chemtech.at,MEINL BANK Aktiengesellschaft 1010 Wien (19240),Schottenring,16,1010,Wien,Wien  1.?Innere Stadt,Wien,AT,Wien,GmbH,46693Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf,Geschäftsführer? vertritt seit 17.04.2013 selbständig|Liudmila Spila (w)f402364113#p402364113?402364114?120iconCompProfLink1984|N/A|17.04.2013|
AST Eis- und Solartechnik GmbH,+43,05672 607180,05672 607199, info@ast.at, www.ast.at,Raiffeisenbank Reutte registrierte Genossenschaft mit beschränkter Haftung 6600 Reutte (36305),Großfeldstraße,10-14,6600,Reutte,Reutte,Tirol,AT,Reutte,GmbH,71122Ingenieurbüros für technische Fachplanung und Ingenieurdesign,Geschäftsführer? vertritt seit 01.04.2014 gemeinsam mit einem/einer weiteren Geschäftsführer/in oder einer/einem Prokuristin/Prokuristen|Ulf Peter Herman Hirvell (m)f400359566#p400359566?402421734?120iconCompProfLink1966? Vomp|N/A|03.04.2014|!Geschäftsführer? vertritt seit 01.04.2014 gemeinsam mit einem/einer weiteren Geschäftsführer/in oder einer/einem Prokuristin/Prokuristen|Ingenieur Klaus Schiffer (m)f400359566#p400359566?401220580?120iconCompProfLink1956? Elbigenalp|N/A|09.07.2013|!Geschäftsleitung? vertritt seit 12.05.2010 selbständig|Bernhard Lechner (m)f400359566#p400359566?402016916?131iconCompProfLink1960? Nassereith|Prokura|08.06.2010|
AST Sicherheitsdienst GmbH,+43,07229 876730,07229 876734, office@austrian-security.at, www.austrian-security.at,N/A,Ritzlhofstr,37,4052,Ansfelden,Linz-Land,Oberösterreich,AT,Ansfelden,GmbH,80100Private Wach- und Sicherheitsdienste,Geschäftsführer? vertritt seit 31.03.2006 selbständig|Markus Kullmann (m)f400863368#p400863368?401230674?120iconCompProfLink1979? Leonding|N/A|12.05.2006|
ASTAM Allgemeiner Stahl-, Anlagen- und Maschinenbau, Gesellschaft mbH,+43,04358 32620,04358 326220, astam@astam.at, www.astam.at,Raiffeisenbank Mittleres Lavanttal eGen 9433 St. Andrä im Lavanttal (39481),St. Jakob,33,9433,St. Andrä im Lavanttal,Wolfsberg,Kärnten,AT,St. Andrä im Lavanttal,GmbH,28220Herstellung von Hebezeugen und Fördermitteln,Geschäftsführer? vertritt seit 06.12.2012 selbständig|Alexandra Stückler (w)f400035758#p400035758?400879366?120iconCompProfLink1976? St. Stefan im Lavanttal|N/A|05.10.2012|!Geschäftsleitung? vertritt seit 06.06.2016 gemeinsam mit einem/einer weiteren Geschäftsführer/in oder einer/einem Prokuristin/Prokuristen|Mag. Manuela Schlacher (w)f400035758#p400035758?402568983?131iconCompProfLink1988? St. Stefan im Lavanttal|Prokura|11.06.2016|!Geschäftsleitung? vertritt seit 06.12.2012 gemeinsam mit einem Geschäftsführer oder einem weiteren Prokuristen|Margarete Bernadette Tschreppitsch (w)f400035758#p400035758?402001148?131iconCompProfLink1960? Lavamünd|Prokura|13.03.2010|
astebo gmbh,+43,07249 482000,07249 48200219, office@astebo.com, www.astebo.com,Oberbank AG? Zweigniederlassung Wels 4600 Wels (15130),Gewerbepark/Mauer,20,4702,Wallern an der Trattnach,Grieskirchen,Oberösterreich,AT,Wallern an der Trattnach,GmbH,25910Herstellung von Fässern? Trommeln? Dosen? Eimern u. ä. Behältern aus Metall,Geschäftsführer? vertritt seit 20.07.2015 selbständig|Andreas Korn (m)f401541135#p401541135?400832547?120iconCompProfLink1962? Wien|N/A|14.11.2014|!Geschäftsführer? vertritt seit 20.07.2015 selbständig|Roman Zauner (m)f401541135#p401541135?402506631?120iconCompProfLink1986? Linz|N/A|23.10.2015|!Geschäftsleitung? vertritt seit 23.10.2014 gemeinsam mit einem Geschäftsführer oder einem weiteren Prokuristen|Johannes Maxwald (m)f401541135#p401541135?402457554?131iconCompProfLink1968? Kirchham|Prokura|14.11.2014|
ASTEC Engineering GmbH,+43,01 9908590,01 99085904, info@astec-engineering.at, www.astec-engineering.at,Erste Bank der österreichischen Sparkassen AG 1010 Wien (20111),Schönbrunner Straße,59-61,1050,Wien,Wien  5.?Margareten,Wien,AT,Wien,GmbH,28290Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.,Geschäftsführer? vertritt seit 31.07.2004 selbständig|Dipl.Ing. Michael Mair (m)f401418716#p401418716?401418717?120iconCompProfLink1969? Wien|N/A|31.07.2004|
Aster Gesellschaft m.b.H.,+43,N/A,03633 310031, office@aster.at, www.aster.at,Raiffeisenbank Admont eGen 8911 Admont? Steiermärkische Bank und Sparkassen Aktiengesellschaft 8933 St. Gallen (38001? 20815),Mooslandl,20,8921,Lainbach,Liezen,Steiermark,AT,Lainbach,GmbH,43912Zimmerei und Ingenieurholzbau,Geschäftsführer? vertritt seit 04.06.2013 selbständig|Andreas Aster (m)f400004086#p400004086?401305302?120iconCompProfLink1973? Lainbach|N/A|25.06.2013|!Geschäftsführer? vertritt seit 04.06.2013 selbständig|Franz Aster (m)f400004086#p400004086?400098159?120iconCompProfLink1959? Lainbach|N/A|20.02.1992|!Geschäftsführer? vertritt seit 04.06.2013 selbständig|Karl Heinz Aster (m)f400004086#p400004086?400223366?120iconCompProfLink1963? Lainbach|N/A|20.02.1992|
aSTIFTERbau GmbH,+43,02616 200990,02616 200999, office@astifterbau.at, www.astifterbau.at,Raiffeisenbezirksbank Oberpullendorf eGen 7350 Oberpullendorf (33065),Weißenbachl,91,7435,Unterkohlstätten,Oberwart,Burgenland,AT,Unterkohlstätten,GmbH,41201Bau von Gebäuden (ohne Fertigteilbau),Geschäftsführer? vertritt seit 21.12.2006 selbständig|Alfred Stifter (m)f401585306#p401585306?401585307?120iconCompProfLink1963? Salmannsdorf|N/A|21.12.2006|
ASTOR Baumanagement GmbH,+43,0316 682483,N/A, N/A,N/A,N/A,Wilhelm Raabe-Gasse,14,8010,Graz,Graz(Stadt),Steiermark,AT,Graz,GmbH,68312Vermittlung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte,Geschäftsführer? vertritt seit 04.02.2011 selbständig|Evelyn Agocs (w)f402019123#p402019123?402063596?120iconCompProfLink1961? Graz|N/A|15.03.2011|!Geschäftsleitung? vertritt seit 11.06.2014 selbständig|Mag. Christina Feneberg (w)f402019123#p402019123?401563067?131iconCompProfLink1975? Graz|Prokura|28.06.2014|
Astoria Czerny GmbH,+43,06432 62770,N/A, N/A,N/A,N/A,Salzburger Straße,24,5630,Bad Hofgastein,Sankt Johann im Pongau,Salzburg,AT,Bad Hofgastein,GmbH,56101Restaurants mit herkömmlicher Bedienung,Geschäftsführer? vertritt seit 07.05.2014 selbständig|Ernst Czerny (m)f402427148#p402427148?400620479?120iconCompProfLink1960? Bad Hofgastein|N/A|07.05.2014|!Geschäftsleitung? vertritt seit 11.08.2014 selbständig|Kerstin Czerny (w)f402427148#p402427148?402427149?131iconCompProfLink1976? Bad Hofgastein|Prokura|20.08.2014|
Astoria Steuerberatung GmbH & Co KG,+43,02732 831300,02732 8313030, office@astoria.at, www.astoria.at,N/A,Edmund-Hofbauer-Straße,1,3500,Krems an der Donau,Krems an der Donau(Stadt),Niederösterreich,AT,Krems an der Donau,KG,82999Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.,N/A
Astri Hosen Gesellschaft m.b.H.,+43,05266 88260,05266 87405, service@astri.at, www.astri.at,TIROLER SPARKASSE BANKAKTIENGESELLSCHAFT INNSBRUCK 6020 Innsbruck? Raiffeisenbank Silz-Haiming und Umgebung eGen 6424 Silz? Sparkasse Imst AG 6460 Imst (20503? 36316? 20502),Bahnhofstraße,20,6430,Ötztal,Imst,Tirol,AT,Ötztal,GmbH,14131Herstellung von gewebter Oberbekleidung für Herren und Knaben,Geschäftsführer? vertritt seit 15.01.2008 selbständig|Clemens Strigl (m)f400027492#p400027492?400419528?120iconCompProfLink1975? Haiming|N/A|11.07.2012|
Astrokalb Fleischzerlege- und Handels GmbH,+43,02276 21287,02276 21290, office@astrokalb.at, www.astrokalb.at,UniCredit Bank Austria AG 3400 Klosterneuburg (20151),Wiesbauer Straße,1,3454,Sitzenberg,Sankt Pölten(Land),Niederösterreich,AT,Sitzenberg,GmbH,10130Fleischverarbeitung,Geschäftsführer? vertritt seit 23.12.2004 selbständig|Thomas MAUROVICH (m)f401452516#p401452516?400666976?120iconCompProfLink1967? Maria Anzbach|N/A|23.12.2004|
ASTRON Electronic GmbH,+43,04256 29125,04256 2912512, office@astron.co.at, www.astron.co.at,Volksbank? Gewerbe- und Handelsbank Kärnten AG 9500 Villach (42130),Feistritz an der Gail,333,9613,Feistritz an der Gail,Villach Land,Kärnten,AT,Feistritz an der Gail,GmbH,43210Elektroinstallation,Geschäftsführer? vertritt seit 12.10.1998 selbständig|Dipl.Ing. Christian Hochenwarter (m)f400951569#p400951569?400951571?120iconCompProfLink1973? Egg bei Hermagor|N/A|21.11.1998|
Astrotech Advanced Elastomerproducts GmbH,+43,01 8690760,01 869076010, office@astrotech.at, www.norsorex.at? 		  www.astrotech.at,Oberbank AG? Zweigniederlassung Wels 4600 Wels? BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 1010 Wien (15130? 14000),Perfektastraße,86,1230,Wien,Wien 23.?Liesing,Wien,AT,Wien,GmbH,20160Herstellung von Kunststoffen in Primärformen,Geschäftsführer? vertritt seit 13.04.1989 selbständig|Ingenieur Gerhard Karall (m)f400293327#p400293327?400135193?120iconCompProfLink1957? Neunkirchen|N/A|12.03.1991|
Astro-Pharma Vertrieb und Handel von pharmazeutischen Produkten GmbH,+43,01 9619313,01 9619314, office@astro-pharma.at, www.astro-pharma.at,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 1010 Wien? UniCredit Bank Austria AG 1010 Wien? Oberbank AG? Zweigniederlassung Wien 1030 Wien (14000? 12000? 15150),Allerheiligenplatz,4,1200,Wien,Wien 20.?Brigittenau,Wien,AT,Wien,GmbH,46461Großhandel mit pharmazeutischen Erzeugnissen,Geschäftsführer? vertritt seit 11.07.2003 selbständig|Mag. Helmut Kaisergruber (m)f401357518#p401357518?400471033?120iconCompProfLink1962? Wien|N/A|11.07.2003|!Geschäftsführer? vertritt seit 11.07.2003 selbständig|Dr. Sabine Möritz-Kaisergruber (w)f401357518#p401357518?401357519?120iconCompProfLink1963? Wien|N/A|29.08.2003|!Geschäftsleitung? vertritt seit 03.06.2016 gemeinsam mit einem Geschäftsführer oder einem weiteren Prokuristen|Dr. Alexandra Frauer (w)f401357518#p401357518?401604202?131iconCompProfLink1971? Wien|Prokura|08.06.2016|!Geschäftsleitung? vertritt seit 03.06.2016 gemeinsam mit einem Geschäftsführer oder einem weiteren Prokuristen|Thomas Christoph Neuwirth (m)f401357518#p401357518?401620754?131iconCompProfLink1970? Wien|Prokura|08.06.2016|!Geschäftsleitung? vertritt seit 18.03.2016 selbständig|Domenico Tanca Ceglie (m)f401357518#p401357518?402555433?131iconCompProfLink1961|Prokura|18.03.2016|
asut computer- und rechenzentrum gesellschaft mit beschränkter haftung,+43,04762 615060,04762 6150618, office@asut.com, www.zeitwirtschaft.at? 		  www.asut.com,Kärntner Sparkasse Aktiengesellschaft 9800 Spittal an der Drau? VOLKSBANK OBERKÄRNTEN registrierte Genossenschaft mit beschränkter Haftung 9800 Spittal an der Drau (20706? 42820),Industriestraße,9,9800,Spittal an der Drau,Spittal an der Drau,Kärnten,AT,Spittal an der Drau,GmbH,62019Sonstige Softwareentwicklung,Geschäftsführer? vertritt seit 01.10.2008 gemeinsam mit einem weiteren Geschäftsführer oder einem Prokuristen|Siegfried Arztmann (m)f400061350#p400061350?400103802?120iconCompProfLink1967? Millstatt|N/A|15.02.1990|!Geschäftsführer? vertritt seit 01.10.2008 gemeinsam mit einem weiteren Geschäftsführer oder einem Prokuristen|Dipl.Ing. Michael Szirch (m)f400061350#p400061350?400669381?120iconCompProfLink1967? Pusarnitz|N/A|06.08.1997|
ASV Altspeiseölverwertungs GmbH,+43,0800 240431742,02734 77183, office@oelwert.at, m.oelwert.at? 		  www.oelwert.at,Kremser Bank und Sparkasse AG 3500 Krems an der Donau (20228),Brennaustraße,10,3500,Krems an der Donau,Krems an der Donau(Stadt),Niederösterreich,AT,Krems an der Donau,GmbH,46330Großhandel mit Milch? Milcherzeugnissen? Eiern? Speiseölen und Nahrungsfetten,Geschäftsführer? vertritt seit 13.11.2015 gemeinsam mit einem/einer weiteren Geschäftsfüher/in|Dipl.Ing. Roland Schönbichler (m)f401308131#p401308131?402148037?120iconCompProfLink1980? Melk|N/A|30.06.2016|!Geschäftsführer? vertritt seit 12.11.2015 gemeinsam mit einem/einer weiteren Geschäftsführer/in oder einer/einem Prokuristin/Prokuristen|Mag. Stefan Tollinger (m)f401308131#p401308131?400990830?120iconCompProfLink1967? Kuchl|N/A|21.11.2015|
ASW Albert Sigl Warenhandelsgesellschaft mbH,+43,07742 29910,07742 299112, office@asw-albert-sigl.at, www.asw-trading.com,Oberbank AG 5230 Mattighofen (15041),Moosstraße,5,5230,Mattighofen,Braunau am Inn,Oberösterreich,AT,Mattighofen,GmbH,46240Großhandel mit Häuten? Fellen und Leder,Geschäftsführer? vertritt seit 28.08.1993 selbständig|Albert Sigl (m)f400297936#p400297936?400297968?120iconCompProfLink1955? Mattighofen|N/A|28.08.1993|!Geschäftsleitung? vertritt seit 22.08.2013 selbständig|Daniela Hage-Sigl (w)f400297936#p400297936?402382408?131iconCompProfLink1980|Prokura|22.08.2013|
ASYS-Hitech GmbH,+43,N/A,06225 2549, N/A,N/A,Oberbank AG 5201 Seekirchen (15096),Mathias-Bayrhamer-Straße,10,5201,Seekirchen,Salzburg-Umgebung,Salzburg,AT,Seekirchen,GmbH,26511Herstellung von elektrischen Mess-? Kontroll-? Navigations- u. ä. Instrumenten und Vorrichtungen,Geschäftsführer? vertritt seit 16.10.2015 selbständig|Philip Joseph Eyles (m)f400367066#p400367066?402533201?120iconCompProfLink1972|N/A|04.11.2015|
ASZ-Das arbeitsmedizinische und sicherheitstechnische Zentrum in Linz GmbH,+43,0732 609988,0732 609988666, office@asz.at, www.asz.at,N/A,Europaplatz,7,4021,Linz,N/A,Oberösterreich,AT,Linz,GmbH,70101Managementtätigkeiten von Holdinggesellschaften,Geschäftsführer? vertritt seit 01.01.2012 gemeinsam mit Dr. Wolfgang Marks oder Mag. Renate Krenn|Martin Feichtenschlager (m)f400915028#p400915028?401361239?120iconCompProfLink1972? Linz|N/A|02.08.2003|!Geschäftsführer? vertritt seit 01.01.2012 selbständig|Mag. Renate Krenn (w)f400915028#p400915028?401677590?120iconCompProfLink1963? Steyr|N/A|05.01.2012|!Geschäftsführer? vertritt seit 16.12.1998 selbständig|Dr. med. Wolfgang Marks (m)f400915028#p400915028?400815622?120iconCompProfLink1950? Linz|N/A|14.06.1997|!Geschäftsführer? vertritt seit 01.01.2012 gemeinsam mit Dr. Wolfgang Marks oder Mag. Renate Krenn|Dr. med. Hana Mayrhofer (w)f400915028#p400915028?401361238?120iconCompProfLink1959? Linz|N/A|02.08.2003|
AS-Sporthotel Gesellschaft m.b.H. Nachfolge KG,+43,05446 31110,05446 311170, office@sporthotel-st-anton.at, www.sporthotel-st-anton.at,N/A,Nummer,52,6580,St. Anton am Arlberg,Landeck,Tirol,AT,St. Anton am Arlberg,KG,55101Hotels (ohne Hotels garnis),N/A
AT Automaterial Gesellschaft m.b.H.,+43,05574 82292,05574 82291, office@at-chemie.at, www.at-automaterial.at? 		  www.at-chemie.at,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 6900 Bregenz? Raiffeisenbank am Bodensee registrierte Genossenschaft mit beschränkter Haftung 6971 Hard? Volksbank Vorarlberg e. Gen. 6973 Höchst (14000? 37431? 45710),Grafenweg,33,6971,Hard,Bregenz,Vorarlberg,AT,Hard,GmbH,20410Herstellung von Seifen? Wasch-? Reinigungs- und Poliermitteln,Geschäftsführer? vertritt seit 21.12.2000 selbständig|Günther Armellini (m)f400049798#p400049798?401208501?120iconCompProfLink1965? Hard|N/A|14.02.2001|!Geschäftsführer? vertritt seit 21.12.2000 selbständig|Peter Armellini (m)f400049798#p400049798?401208502?120iconCompProfLink1968? Hard|N/A|14.02.2001|!Geschäftsführer? vertritt seit 21.12.2000 selbständig|Thomas Armellini (m)f400049798#p400049798?401208503?120iconCompProfLink1973? Hard|N/A|14.02.2001|
at home Immobilien-GmbH,+43,01 401090,01 401097082, office@at-home.co.at, www.at-home.co.at,UniCredit Bank Austria AG 1010 Wien (12000),Bennoplatz,3,1080,Wien,Wien  8.?Josefstadt,Wien,AT,Wien,GmbH,68311Vermittlung von Wohngrundstücken? Wohngebäuden und Wohnungen für Dritte,Geschäftsführer? vertritt seit 28.06.2001 gemeinsam mit einem weiteren Geschäftsführer oder einem Prokuristen|Ingenieur Andreas Malai (m)f401232299#p401232299?400929079?120iconCompProfLink1964? Wien|N/A|28.06.2001|!Geschäftsführer? vertritt seit 28.06.2001 gemeinsam mit einem weiteren Geschäftsführer oder einem Prokuristen|Mag. Josef Wiesinger (m)f401232299#p401232299?400526880?120iconCompProfLink1960? Wien|N/A|28.06.2001|!Geschäftsleitung? vertritt seit 30.06.2014 gemeinsam mit einem/einer weiteren Geschäftsführer/in|Dipl.Ing. Alexander Hießböck (m)f401232299#p401232299?402419281?131iconCompProfLink1974? Wien|Prokura|20.08.2014|
AT Industrieservice GmbH,+43,07752 26333,07752 81966, office@at-industrieservice.at, www.at-industrieservice.at,Oberbank AG? Zweigniederlassung Innviertel 4910 Ried im Innkreis (15080),Fuchsleiten,5,4911,Tumeltsham,N/A,Oberösterreich,AT,Tumeltsham,GmbH,18120Drucken a. n. g.,Geschäftsführer? vertritt seit 01.05.2008 selbständig|Olaf Mundt (m)f401619714#p401619714?401672506?120iconCompProfLink1963|N/A|03.05.2008|
AT - Elektrotechnik GmbH,+43,01 9255044,N/A, N/A,N/A,N/A,Ennsgasse,27,1020,Wien,Wien  2.?Leopoldstadt,Wien,AT,Wien,GmbH,47540Einzelhandel mit elektrischen Haushaltsgeräten ,Geschäftsführer? vertritt seit 05.12.2012 selbständig|Talip Asani (m)f402344046#p402344046?402344047?120iconCompProfLink1979? Wien|N/A|05.12.2012|!Geschäftsleitung? vertritt seit 05.12.2012 selbständig|Berat Ademi (m)f402344046#p402344046?401389386?131iconCompProfLink1977? Wien|Prokura|05.12.2012|
ATBM-Handelsgesellschaft m.b.H.,+43,02236 735600,02236 7356099, office@atbm.at, www.atbm.at,Raiffeisenbank Region Schwechat eGen 2320 Schwechat (32823),Untere Ortsstraße,25,2481,Achau,Mödling,Niederösterreich,AT,Achau,GmbH,46630Großhandel mit Bergwerks-? Bau- und Baustoffmaschinen,Geschäftsführer? vertritt seit 01.06.1998 selbständig|Ingenieur Wolfgang Amler (m)f400073297#p400073297?400224655?120iconCompProfLink1949? Wien|N/A|18.06.1998|!Geschäftsleitung? vertritt seit 22.08.2013 selbständig|Alexander Amler (m)f400073297#p400073297?400789481?131iconCompProfLink1974? Bruckneudorf|Prokura|31.08.2013|
ATB-Becker e.U.,+43,05223 53090,05223 53588, office@atb-becker.com, www.atb-becker.com,N/A,Dörferstraße,16,6067,Absam,Innsbruck-Land,Tirol,AT,Absam,eK,26111Herstellung von Solarzellen und Solarmodulen,N/A
ATC Agro Trial Center GmbH,+43,02164 2534,02164 25342, info@atc-gerhaus.com, www.atc-gerhaus.com,UniCredit Bank Austria AG 1010 Wien? BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 1010 Wien (12000? 14000),Am Futterplatz,1,2471,Rohrau,Neusiedl am See,Niederösterreich,AT,Rohrau,GmbH,71200Technische? physikalische und chemische Untersuchung,Geschäftsführer? vertritt seit 01.02.2016 selbständig|Jacques-Henri Marie Joseph Boisleux (m)f400311481#p400311481?402527621?120iconCompProfLink1956|N/A|18.03.2016|!Geschäftsführer? vertritt seit 01.02.2016 selbständig|Olivier Marchioro (m)f400311481#p400311481?402527622?120iconCompProfLink1977|N/A|18.03.2016|
ATC Generalunternehmungen GmbH,+43,02742 22992,02742 229929, office@gutgebaut.at, www.gutgebaut.at,SPARKASSE NIEDERÖSTERREICH MITTE WEST AKTIENGESELLSCHAFT 3100 St. Pölten (20256),ATC Park? Mostviertelstraße,5,3100,St. Pölten,Sankt Pölten(Stadt),Niederösterreich,AT,St. Pölten,GmbH,41201Bau von Gebäuden (ohne Fertigteilbau),Geschäftsführer? vertritt seit 09.10.1993 selbständig|Ingenieur Reinhard Pasteiner (m)f400381014#p400381014?400381210?120iconCompProfLink1970? Pyhra|N/A|09.10.1993|
ATC Metallwelt Groß- und Einzelhandel GmbH,+43,02742 252941,02742 251324, office@metallwelt.at, www.metallwelt.at,SPARKASSE NIEDERÖSTERREICH MITTE WEST AKTIENGESELLSCHAFT 3100 St. Pölten (20256),Mostviertelstraße,5,3100,St. Pölten,Sankt Pölten(Stadt),Niederösterreich,AT,St. Pölten,GmbH,46721Großhandel mit Eisenerzen? Eisen? Stahl? Eisen- und Stahlhalbzeug,Geschäftsführer? vertritt seit 29.01.2009 gemeinsam mit einem weiteren Prokuristen oder einem Geschäftsführer|Petra Meyer (w)f400021475#p400021475?401720791?120iconCompProfLink1975? St. Pölten|N/A|11.06.2011|!Geschäftsführer? vertritt seit 01.01.1999 selbständig|Ingenieur Reinhard Pasteiner (m)f400021475#p400021475?400381210?120iconCompProfLink1970? Pyhra|N/A|20.01.1999|!Geschäftsleitung? vertritt seit 27.05.2011 selbständig|Otto Mikscha (m)f400021475#p400021475?401275927?131iconCompProfLink1960? Sitzenberg|Prokura|18.02.2009|
ATEC Handelsgesellschaft mbH,+43,01 516333805,01 516333000, N/A,N/A,Raiffeisenlandesbank Niederösterreich-Wien AG 1010 Wien (31100),Parkring,10,1010,Wien,Wien  1.?Innere Stadt,Wien,AT,Wien,GmbH,46903Großhandel mit Fertigwaren? ohne ausgeprägten Schwerpunkt,Geschäftsführer? vertritt seit 02.06.2014 selbständig|Alexander Starodubov (m)f401231837#p401231837?402432254?120iconCompProfLink1950|N/A|07.06.2014|
ATEC Torantriebstechnik GmbH,+43,03179 62500,N/A, N/A,N/A,N/A,Tulwitzviertel,60,8163,Fladnitz an der Teichalm,Graz-Umgebung,Steiermark,AT,Fladnitz an der Teichalm,GmbH,46731Großhandel mit Holz? Baustoffen? Anstrichmitteln und Sanitärkeramik? ohne ausgeprägten Schwerpunkt,Geschäftsführer? vertritt seit 14.02.2015 selbständig|Ägidius Harrer (m)f402473467#p402473467?400471915?120iconCompProfLink1963? Fladnitz an der Teichalm|N/A|14.02.2015|
Atelier Gruber GmbH,+43,01 7261089,N/A, hallo@cupcakes-wien.at, www.cupcakes-wien.at? 		  www.ateliergruber.at,Erste Bank der österreichischen Sparkassen AG 1010 Wien (20111),Albertgasse,17,1080,Wien,Wien  8.?Josefstadt,Wien,AT,Wien,GmbH,10710Herstellung von Backwaren (ohne Dauerbackwaren),Geschäftsführer? vertritt seit 05.05.2009 selbständig|Renate Gruber (w)f401734723#p401734723?401734724?120iconCompProfLink1972? Wien|N/A|05.05.2009|
Atelier Theo Freund, konzeptionelle Grafik und Werbegestaltung,+43,0732 6606660,0732 660086, office@freund-agentur.com, www.freund-agentur.com,Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft 4020 Linz (20320),Rainerstraße,14,4020,Linz,Linz(Stadt),Oberösterreich,AT,Linz,eK,73110Werbeagenturen,N/A
